Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Tristan Peters","CHW",68,200,3,22,21,4,0.07,0.185,0.155555556,0.357142857,0.294444444,0.352040816,0.45,0.3528872892564657,0.30449585593426165,123.54461803583557,1.1117238560691476,6.6826642366187645,5.369884967803955,1.9535248890323391,"Tristan Peters",30063,671976
"Brayan Rocchio","CLE",70,261,5,28,32,12,0.084291187,0.130268199,0.123348018,0.293193717,0.268722466,0.347490347,0.392070484,0.3307968329738926,0.3133804202079773,109.97373040892391,0.597833851352334,3.677509635464178,5.98860764503479,1.9314609283014905,"Brayan Rocchio",23690,677587
"Michael Busch","CHC",73,322,8,31,42,2,0.155279503,0.229813664,0.156488549,0.311475409,0.248091603,0.378881987,0.404580152,0.3525486350802246,0.35642663117881135,126.251772266719,-1.2386199813336134,8.723308533680147,-0.20741033554077148,1.9245892288124873,"Michael Busch",26319,683737
"Josh Jung","TEX",68,288,8,32,30,1,0.072916666,0.159722222,0.153256705,0.334928229,0.298850574,0.357638888,0.452107279,0.35647888936930233,0.3516136540306939,127.63982515633376,-1.810144335962832,7.6073343290195705,0.41679519414901733,1.8620002427312434,"Josh Jung",26299,673962
"Alec Burleson","STL",70,307,13,39,52,2,0.084690553,0.153094462,0.205776174,0.301369863,0.285198555,0.348534201,0.490974729,0.36319157920899936,0.39143306330630656,133.8672013601838,0.6062967572361231,12.859414494417145,-4.518768608570099,1.8575048554256886,"Alec Burleson",27615,676475
"Ozzie Albies","ATL",72,306,10,45,37,1,0.071895424,0.120915032,0.157509157,0.283261802,0.278388278,0.333333333,0.435897435,0.3359172983107224,0.31086654916554196,112.63541661100165,0.05420496966689825,4.610794559093908,3.223332166671753,1.8025986520119357,"Ozzie Albies",16556,645277
"Gunnar Henderson","BAL",73,334,14,39,34,6,0.077844311,0.24251497,0.188118812,0.258373205,0.224422442,0.293413173,0.412541254,0.3108257690589585,0.3104976265730258,96.66578538148602,1.2987340446561575,-0.018754609515397647,5.5032384395599365,1.7699364486944713,"Gunnar Henderson",26289,683002
"Matt Chapman","SFG",72,301,7,35,40,0,0.106312292,0.205980066,0.152671756,0.311224489,0.259541984,0.34551495,0.41221374,0.3355137793223063,0.2986124846894862,115.23910109267936,-0.6071247775107622,4.798610408641416,2.662074387073517,1.748129732340116,"Matt Chapman",16505,656305
"Jazz Chisholm Jr.","NYY",68,279,9,36,29,20,0.11469534,0.283154121,0.168032787,0.297468354,0.229508196,0.318996415,0.397540983,0.3184960608413997,0.30375727692213444,101.56155443439386,3.244269732385874,3.759697957436785,3.129624307155609,1.7137095671923983,"Jazz Chisholm Jr.",20454,665862
"Oneil Cruz","PIT",64,283,14,45,44,21,0.106007067,0.346289752,0.208,0.376811594,0.264,0.349823321,0.472,0.3589640191865561,0.3583699434888833,126.9322123970644,2.337319859303534,11.319616375132947,-3.732651114463806,1.7019332249871517,"Oneil Cruz",21711,665833
"Paul Goldschmidt","NYY",46,180,10,25,33,1,0.083333333,0.188888888,0.248447205,0.322033898,0.298136645,0.366666666,0.54658385,0.3942622101969189,0.3676255721619675,153.0306101244028,0.05880412366241217,11.351717442868066,-1.1469709873199463,1.6926835877086437,"Paul Goldschmidt",9218,502671
"Pete Alonso","BAL",74,320,16,44,48,2,0.109375,0.225,0.218637993,0.278350515,0.250896057,0.3375,0.46953405,0.3503153862068488,0.37787284008712047,123.49166107202409,-1.3769318936392665,7.516524305863198,-2.340376377105713,1.6877520998426845,"Pete Alonso",19251,624413
"Liam Hicks","MIA",71,277,13,39,51,1,0.101083032,0.090252707,0.20083682,0.262135922,0.280334728,0.36101083,0.481171548,0.36575951891532843,0.32453110306351274,132.11161428082823,-2.9420044738799334,7.540639326631993,0.024426698684692383,1.680012217169415,"Liam Hicks",29844,689414
"William Contreras","MIL",66,291,6,39,43,1,0.082474226,0.130584192,0.114503817,0.315315315,0.290076335,0.347079037,0.404580152,0.3306522326073432,0.333215495706842,110.27670706280483,-1.5821296265348792,1.9421948600443342,4.933321297168732,1.655673993385341,"William Contreras",20503,661388
"Iván Herrera","STL",71,323,9,48,31,4,0.130030959,0.154798761,0.16091954,0.289215686,0.260536398,0.396284829,0.421455938,0.36566841340737655,0.3686453662341154,135.55626442254984,-1.8177842451259494,11.716882621106405,-5.90628308057785,1.6521452719981395,"Ivan Herrera",20599,671056
"Geraldo Perdomo","ARI",70,292,4,31,25,11,0.140410958,0.123287671,0.116666667,0.268292682,0.245833333,0.354166666,0.3625,0.32452651403016514,0.3355272527326617,104.35161464782985,-0.29726375732570887,1.2002202832013351,5.420055150985718,1.6329412291039336,"Geraldo Perdomo",22799,672695
"JJ Bleday","CIN",44,192,13,27,34,2,0.135416666,0.177083333,0.31097561,0.262711864,0.268292682,0.369791666,0.579268292,0.4040889499699258,0.3899500609705688,154.693062558866,-0.0720283854752779,12.303461296942384,-2.5093278288841248,1.6282720708856817,"JJ Bleday",26368,668709
"Ian Happ","CHC",70,309,16,47,37,4,0.132686084,0.317152103,0.246212121,0.278145695,0.219696969,0.330097087,0.46590909,0.34509020634725984,0.33065741046581393,121.16553900799127,-0.0711827240884304,7.63637406768688,-1.7852145433425903,1.6103381056427732,"Ian Happ",17919,664023
"Junior Caminero","TBR",70,307,15,43,32,0,0.136807817,0.172638436,0.215909091,0.289340101,0.272727272,0.371335504,0.488636363,0.37387698261361374,0.3632387034098307,137.18091529587014,-1.4668454490602016,12.037244373576751,-7.268605947494507,1.599085539102426,"Junior Caminero",28163,691406
"Zack Gelof","ATH",57,208,10,34,28,8,0.057692307,0.25,0.213541667,0.346153846,0.286458333,0.334951456,0.5,0.36292402142459906,0.29204662173402074,127.8116374456256,1.3847758630290627,8.22856720479524,0.04574716091156006,1.5974501178462759,"Zack Gelof",29766,680869
"Brandon Marsh","PHI",68,262,9,39,34,7,0.04961832,0.240458015,0.180327869,0.4,0.323770491,0.358778625,0.50409836,0.37260978751712376,0.3367481231689453,136.51227751935608,0.3717834996059537,11.645552612218077,-4.423095941543579,1.5958707260573357,"Brandon Marsh",20202,669016
"Mauricio Dubón","ATL",68,269,6,28,38,1,0.066914498,0.156133828,0.141129032,0.295,0.262096774,0.317164179,0.403225806,0.3188293469485952,0.3145717247984463,100.98238489971992,-0.47133152186870575,-0.15989977666297528,7.127560317516327,1.5928723011886385,"Mauricio Dubon",16530,643289
"Chase Meidroth","CHW",69,294,6,42,25,2,0.091836734,0.224489795,0.120155039,0.34574468,0.275193798,0.346020761,0.395348837,0.33114026203287517,0.2922874852230674,108.77154371723702,-0.27452449407428503,2.776391350855266,2.0863367319107056,1.5615422283428966,"Chase Meidroth",31580,805367
